arxiv_id,url,month,field,tag,bucket,second_reader,quote,tools_named,vendors,confidence
2306.02411,https://arxiv.org/abs/2306.02411,2023-06,math.AT,draft_text_generated,writing,pair_supported,"ChatGPT: Topology is a branch of mathematics concerned with the properties of space that are preserved under continuous transformations, such as stretching or bending. In recent years, researchers have begun to explore the use of topology-based methods to measure the quality of input data in artificial intelligence (AI) training processes. One such method is called persistent homology. Persistent homology is a mathematical tool that can be used to identify and quantify topological features in data. In particular, it can be used to identify the presence of high-dimensional ""holes"" or ""voids"" in the data that may be difficult for other methods to detect. These topological features can then be used to infer properties of the underlying data distribution. In the context of AI, persistent homology can be used to measure the quality of input data in the training process. For example, it can be used to identify regions of the input space that are particularly noisy or difficult to learn from, or to detect anomalies or outliers in the data. This information can then be used to guide the design of the training process, such as by focusing on those regions of the input space that are most informative or by augmenting the training data with additional examples from underrepresented regions. Overall, the use of topology-based methods such as persistent homology can help to improve the quality and effectiveness of AI training processes by providing insights into the structure and properties of the input data.",ChatGPT,openai,high
2306.06287,https://arxiv.org/abs/2306.06287,2023-06,math.OC,figures_media,,pair_supported,"The initial densities are the ancient Chinese calligraphy in seal script for the 12 Chinese zodiac animals, which are downloaded from Richard Sears' website \url{https://hanziyuan.net/}, while the terminal densities are their associated (gray-scale) images, which are generated by Baidu's text-to-image AI tool WenXin YiGe \url{https://yige.baidu.com/}.",WenXin YiGe,unnamed,high
2306.16617,https://arxiv.org/abs/2306.16617,2023-06,math.OC,draft_text_generated,writing,pair_supported,\section{Final attempt by GPT 4} \section{Transforming Riemmanian Monotone Games with Geodesically Convex Decision Set to Mixed Variational Inequalities}\label{sec:constrained to vi},GPT 4; chatGPT,openai,medium
2306.02004,https://arxiv.org/abs/2306.02004,2023-06,math.QA,draft_text_generated,writing,pair_supported,"GPT dixit: ntroducción: The study of algebraic structures and their interactions has been a central topic in pure mathematics. In particular, Gerstenhaber algebras and BV (Batalin-Vilkovisky) operators have gained significant attention due to their rich mathematical properties and applications in various areas of mathematics and theoretical physics. This work aims to provide a comprehensive exploration of the interplay between Gerstenhaber algebras and BV operators, shedding light on their compatibility and implications.",GPT,openai,medium
2306.09536,https://arxiv.org/abs/2306.09536,2023-06,math.RT,writing_polish,writing,pair_supported,Lastly I thank ChatGPT for polishing some English writings.,ChatGPT,openai,high
2307.07157,https://arxiv.org/abs/2307.07157,2023-07,math.AG,writing_polish,writing,pair_supported,We would like to acknowledge the assistance of ChatGPT in polishing the wording.,ChatGPT,openai,high
2307.01861,https://arxiv.org/abs/2307.01861,2023-07,math.OA,code_computation,code_computation,pair_supported,The computer code was written with some facilitation by ChatGPT~\cite{ChatGPT}.,ChatGPT,openai,high
2308.00182,https://arxiv.org/abs/2308.00182,2023-07,math.PR,writing_polish,writing,pair_supported,"During the preparation of this work the authors used ChatGPT in order to improve English grammar, syntax, spelling and wording.",ChatGPT,openai,high
2307.00785,https://arxiv.org/abs/2307.00785,2023-07,math.RT,writing_polish,writing,pair_supported,D.T. also acknowledges ChatGPT for its assistance with proofreading.,ChatGPT,openai,high
2308.11355,https://arxiv.org/abs/2308.11355,2023-08,math.AG,proof_ideas,substantial_research,reread_confirmed,"In section~\ref{sec:importantFeatures}, we developed machine learning models that not only enable us to recover previously known results, but also lead to new conjectures and research questions.",machine learning; linear models; Support Vector Machine (SVM); neural networks,unnamed,high
2308.11355,https://arxiv.org/abs/2308.11355,2023-08,math.AG,statement_generated,substantial_research,reread_confirmed,"By analyzing the linear model developed in \S 4, we formulated a new conjecture that has since been proven in \S 6.",machine learning; linear models; Support Vector Machine (SVM); neural networks,unnamed,medium
2308.01288,https://arxiv.org/abs/2308.01288,2023-08,math.CA,writing_polish,writing,pair_supported,"During the preparation of this work the authors used ChatGPT in order to improve English grammar, syntax, spelling and wording.",ChatGPT,openai,high
2309.01869,https://arxiv.org/abs/2309.01869,2023-09,math.CO,literature_search,lit_review,pair_supported,"We were not aware of previous work on the arboricity of planar graph before the google AI agent ""Bard"" told us about it in a personal communication. Since the agent had hallucinated during that chat with other claims like that the arboricity of a cyclic graph $C_n$ is $1$, we did not take it seriously, but it prompted us to hit the literature again and let us to find the exercise in \cite{BM}.",Bard,google,high
2309.02014,https://arxiv.org/abs/2309.02014,2023-09,math.OC,other,,pair_supported,We would also like to thank GPT-4 for inspiring the title of this work.,GPT-4,openai,high
2310.16130,https://arxiv.org/abs/2310.16130,2023-10,math.AP,writing_polish,writing,pair_supported,During the preparation of this work the authors used CHAT GPT in order to enhance the quality and fluency of the English writing style.,CHAT GPT,openai,high
2310.07570,https://arxiv.org/abs/2310.07570,2023-10,math.AT,code_computation,code_computation,pair_supported,"In this work, we aim to leverage ChatGPT to close the gap between pure mathematical theories and practical codes for computational topology.",ChapGPT version 3.5,openai,high
2310.02647,https://arxiv.org/abs/2310.02647,2023-10,math.CT,writing_polish,writing,pair_supported,"During the preparation of this work the authors used chatGPT, DeepL, and Grammarly in order to improve our English.",chatGPT; DeepL; Grammarly,openai,high
2310.16515,https://arxiv.org/abs/2310.16515,2023-10,math.GM,writing_polish,writing,pair_supported,During the preparation of this work the authors used GPT in order to correct grammar and writing.,GPT,openai,high
2310.12047,https://arxiv.org/abs/2310.12047,2023-10,math.GR,code_computation,code_computation,pair_supported,"This lower--bound was initially suggested through empirical analysis, using a genetic algorithm developed using the Python API of SageMath \cite{Sage}. Davies \textit{et al.} \cite{AIMath} recently highlighted the effectiveness of guiding mathematical intuition in this manner, through the use of artificial intelligence.",genetic algorithm,unnamed,high
2310.14445,https://arxiv.org/abs/2310.14445,2023-10,math.GT,literature_search,lit_review,pair_supported,"We learned that from Chat GPT who did not provide reference that the result must be known. A literature search then led to the exercise in \cite{BM}. {\bf ``Google Bard""} gave us, when pressed, as reference \cite{NashWilliams1964} which however does not mention this result on planar graphs.",Chat GPT; Google Bard; Claude,anthropic; google; openai,high
2310.14445,https://arxiv.org/abs/2310.14445,2023-10,math.GT,other,,pair_supported,"Antropic's ``Claude"" gave the following proof: {\it removing an edge reduces the number of edges and faces by one (which is not true for $K_2$) and claims that removing $E - (V-2)$ edges to get a forest leading to $E \leq 3(V - 2)$ (also not true for $K_2$).}",Chat GPT; Google Bard; Claude,anthropic; google; openai,medium
2310.07006,https://arxiv.org/abs/2310.07006,2023-10,math.NT,figures_media,,pair_supported,This cartoon (produced with the aid of ChatGPT after much coaxing) depicts the construction of Breuil--M\'{e}zard cycles.,,unnamed,high
2310.17856,https://arxiv.org/abs/2310.17856,2023-10,math.OC,writing_polish,writing,pair_supported,"Moreover, we acknowledge Chatgpt(3.5) AI tools which is used to rephrase, edit and polish the authors written text for spelling, grammar, or general style.",Chatgpt(3.5),openai,high
2310.19548,https://arxiv.org/abs/2310.19548,2023-10,math.OC,other,,pair_supported,"We obtained similar results for other CNN architectures provided by trustful resources on the internet, e.g., \href{https://pytorch.org/}{PyTorch.org}, as well as designed by ChatGPT through a suitable prompt.",ChatGPT,openai,high
2311.12748,https://arxiv.org/abs/2311.12748,2023-11,math.CA,writing_polish,writing,pair_supported,We appreciate the utilization of ChatGPT version 3.5 in the final preparation of this note.,ChatGPT version 3.5,openai,medium
2311.15175,https://arxiv.org/abs/2311.15175,2023-11,math.OC,writing_polish,writing,pair_supported,We used ChatGPT to increase readability.,ChatGPT,openai,high
2311.16956,https://arxiv.org/abs/2311.16956,2023-11,math.OC,writing_polish,writing,pair_supported,"The authors used AI tools to enhance the written text regarding grammar and spelling, primarily in \cref{section:introduction}.",AI tools,unnamed,high
2311.15352,https://arxiv.org/abs/2311.15352,2023-11,math.PR,writing_polish,writing,pair_supported,The text of this paper was partially reviewed for spelling and grammar using ChatGPT 3.5.,ChatGPT 3.5,openai,high
2312.07737,https://arxiv.org/abs/2312.07737,2023-12,math.DS,writing_polish,writing,pair_supported,"During the preparation of this work, the authors used ChatGPT in order to improve readability and language.",ChatGPT,openai,high
2312.06980,https://arxiv.org/abs/2312.06980,2023-12,math.NA,writing_polish,writing,pair_supported,During the preparation of this work the author(s) used ERNIE Bot in order to improve language and readability.,ERNIE Bot,other,high
2312.12542,https://arxiv.org/abs/2312.12542,2023-12,math.NT,figures_media,,pair_supported,This cartoon (produced with the aid of ChatGPT after much coaxing) depicts the Brauer functor $\wt{\cbr}$ interfacing with the Tate cohomology of moduli of local shtukas and with the $\sigma$-dual homomorphism $\chpsi$.,ChatGPT,openai,high
2312.11494,https://arxiv.org/abs/2312.11494,2023-12,math.OC,writing_polish,writing,pair_supported,During the preparation of this work the author(s) used ChatGPT in order to improve readability and cogency in text.,ChatGPT,openai,high
2312.12663,https://arxiv.org/abs/2312.12663,2023-12,math.OC,draft_text_generated,writing,pair_supported,{\color{red} Edit this ChatGPT generated concluding remarks.},ChatGPT,openai,high
2401.07652,https://arxiv.org/abs/2401.07652,2024-01,math.AP,translation,writing,pair_supported,"They also wish to acknowledge the support of the University of Bremen, where a significant portion of this work was completed, and ChatGPT for assistance with translation.",ChatGPT,openai,high
2401.12399,https://arxiv.org/abs/2401.12399,2024-01,math.AP,writing_polish,writing,pair_supported,"During the preparation of this work, the authors used the AI ChatGPT and the AI Bard to correct grammar and orthography in the text.",AI ChatGPT; AI Bard,google; openai,high
2401.12016,https://arxiv.org/abs/2401.12016,2024-01,math.HO,translation,writing,pair_supported,A liberal translation based on the use of google translate\footnote{https://translate.google.com/?sl=la. Checked 1.11.2023.} and ChatGPT\footnote{https://chat.openai.com/auth/login. Checked 1.11.2023.} and the translation \cite[p.39]{Hughes2008} is given below.,ChatGPT; ChatGPT--3.5,openai,high
2401.12016,https://arxiv.org/abs/2401.12016,2024-01,math.HO,translation,writing,pair_supported,"The following explanation is based on the transcripts by Boncompagni \cite[p.353-354]{Boncompagni1857} and Giusti \cite[p.549--550]{Giusti2020}, the translation by Sigler \cite[p.491]{Sigler2002} and liberal use of google translate\footnote{https://translate.google.com/?sl=la. Checked 1.11.2023.} and ChatGPT\footnote{https://chat.openai.com/auth/login. Checked 1.11.2023.} is below.",ChatGPT; ChatGPT--3.5,openai,high
2401.12016,https://arxiv.org/abs/2401.12016,2024-01,math.HO,translation,writing,pair_supported,"The following explanation is based on the transcripts by Boncompagni \cite[p.354]{Boncompagni1857} and Giusti \cite[p.550]{Giusti2020}, the translation by Sigler \cite[p.492]{Sigler2002} and use of google translate and ChatGPT--3.5.",ChatGPT; ChatGPT--3.5,openai,high
2401.12016,https://arxiv.org/abs/2401.12016,2024-01,math.HO,translation,writing,pair_supported,"The following translation is based on the transcripts by Boncompagni \cite[p.354--355]{Boncompagni1857} and Giusti \cite[p.550]{Giusti2020}, the translation by Sigler \cite[p.492]{Sigler2002} and use of google translate and ChatGPT--3.5.",ChatGPT; ChatGPT--3.5,openai,high
2401.12016,https://arxiv.org/abs/2401.12016,2024-01,math.HO,translation,writing,pair_supported,"The following emphasized text is based on the transcripts by Boncompagni \cite[p.355]{Boncompagni1857} and Giusti \cite[p.551]{Giusti2020}, the translation by Sigler \cite[p.492-493]{Sigler2002} and use of google translate and ChatGPT--3.5.",ChatGPT; ChatGPT--3.5,openai,high
2401.12016,https://arxiv.org/abs/2401.12016,2024-01,math.HO,translation,writing,pair_supported,"The following emphasized text is based on the transcripts by Boncompagni \cite[p.355--356]{Boncompagni1857} and Giusti \cite[p.552-553]{Giusti2020}, the translation by Sigler \cite[p.492-493]{Sigler2002} and use of google translate and ChatGPT--3.5.",ChatGPT; ChatGPT--3.5,openai,high
2401.01220,https://arxiv.org/abs/2401.01220,2024-01,math.NA,writing_polish,writing,pair_supported,During the preparation of this work the authors used generative AI in order to polish the language.,generative AI,unnamed,high
2401.05963,https://arxiv.org/abs/2401.05963,2024-01,math.NA,writing_polish,writing,pair_supported,During the preparation of this work the author used ChatGPT in order to improve readability and language.,ChatGPT,openai,high
2401.03692,https://arxiv.org/abs/2401.03692,2024-01,math.OC,writing_polish,writing,pair_supported,During the preparation of this work the authors used ChatGPT in order to improve readability.,ChatGPT,openai,high
2401.15745,https://arxiv.org/abs/2401.15745,2024-01,math.OC,writing_polish,writing,pair_supported,We used ChatGPT-4 \cite{openai2023chatgpt} to check the grammar in Sections 1 and 2.,ChatGPT-4,openai,high
2401.12270,https://arxiv.org/abs/2401.12270,2024-01,math.ST,specific_result_generated,substantial_research,reread_confirmed,"The calculations have been perfomed via CAS and then checked manually, they are omitted for brevity.",sympy; Wolfram Alpha,unnamed,medium
2401.12270,https://arxiv.org/abs/2401.12270,2024-01,math.ST,vague_proof_contributions,substantial_research,reread_confirmed,With the aid of a CAS a novel formula for the curvature in the case of Exponential Families can be more easily derived:,sympy; Wolfram Alpha,unnamed,high
2401.12270,https://arxiv.org/abs/2401.12270,2024-01,math.ST,vague_proof_contributions,substantial_research,reread_confirmed,"However, we will not study the curvature over the whole manifold, limiting ourselves to reaching the same asymptotic result as in \cite{Brigant2019} with the aid of a CAS.",sympy; Wolfram Alpha,unnamed,high
2402.10488,https://arxiv.org/abs/2402.10488,2024-02,math.NA,writing_polish,writing,pair_supported,During the preparation of this work the author(s) used ChatGPT in order to check grammar errors and improve readability.,ChatGPT,openai,high
2402.11796,https://arxiv.org/abs/2402.11796,2024-02,math.OC,writing_polish,writing,pair_supported,ChatGPT was utilized to assist with language polishing of this manuscript.,ChatGPT,openai,high
2402.16074,https://arxiv.org/abs/2402.16074,2024-02,math.RT,translation,writing,pair_supported,Translation by ChatGPT,ChatGPT,openai,high
2402.03756,https://arxiv.org/abs/2402.03756,2024-02,math.ST,writing_polish,writing,pair_supported,"We used an AI tool to edit or polish the authors' written text for spelling, grammar, or general style.",AI tool,unnamed,high
2403.06318,https://arxiv.org/abs/2403.06318,2024-03,math.CO,code_computation,code_computation,pair_supported,We thank Heather Armstrong for help with Latex and ChatGPT for help with Sage coding.,ChatGPT,openai,high
2403.09581,https://arxiv.org/abs/2403.09581,2024-03,math.CO,writing_polish,writing,pair_supported,ChatGPT 3.5 has assisted in the formatting of this document.,ChatGPT 3.5,openai,high
2403.18088,https://arxiv.org/abs/2403.18088,2024-03,math.NA,writing_polish,writing,pair_supported,During the preparation of this work the authors used GitHub Copilot in order to propose wordings and mathematical typesetting.,GitHub Copilot,microsoft,high
2403.15669,https://arxiv.org/abs/2403.15669,2024-03,math.OC,writing_polish,writing,pair_supported,"During the preparation of this paper, the authors used ChatGPT in order to improve the readability and the English language of this paper.",ChatGPT,openai,high
2403.17705,https://arxiv.org/abs/2403.17705,2024-03,math.PR,code_computation,code_computation,pair_supported,"Specifically, ChatGPT, based on GPT-4 (OpenAI, 2023–2024), was used to assist with minor language editing and to accelerate the generation of LaTeX/TikZ code for illustrative figures and simulations made in the programming language R.","ChatGPT, based on GPT-4 (OpenAI, 2023–2024)",openai,high
2403.17705,https://arxiv.org/abs/2403.17705,2024-03,math.PR,figures_media,,pair_supported,"Specifically, ChatGPT, based on GPT-4 (OpenAI, 2023–2024), was used to assist with minor language editing and to accelerate the generation of LaTeX/TikZ code for illustrative figures and simulations made in the programming language R.","ChatGPT, based on GPT-4 (OpenAI, 2023–2024)",openai,high
2403.17705,https://arxiv.org/abs/2403.17705,2024-03,math.PR,writing_polish,writing,pair_supported,"Specifically, ChatGPT, based on GPT-4 (OpenAI, 2023–2024), was used to assist with minor language editing and to accelerate the generation of LaTeX/TikZ code for illustrative figures and simulations made in the programming language R.","ChatGPT, based on GPT-4 (OpenAI, 2023–2024)",openai,high
2403.12110,https://arxiv.org/abs/2403.12110,2024-03,math.ST,code_computation,code_computation,pair_supported,"To deduce and verify complex mathematical expressions, both Wolfram Alpha and ChatGPT were utilized.",ChatGPT,openai,medium
2403.12110,https://arxiv.org/abs/2403.12110,2024-03,math.ST,math_checking,research_assistance,pair_supported,"To deduce and verify complex mathematical expressions, both Wolfram Alpha and ChatGPT were utilized.",ChatGPT,openai,high
2403.12110,https://arxiv.org/abs/2403.12110,2024-03,math.ST,writing_polish,writing,pair_supported,"ChatGPT, an AI language model developed by OpenAI, was used to enhance the grammar of this paper.",ChatGPT,openai,high
2404.13136,https://arxiv.org/abs/2404.13136,2024-04,math.CO,code_computation,code_computation,pair_supported,"With the assistance of ChatGPT-4, we rewrote the code in Julia, a high-performance dynamic language, reducing runtime to under 8 minutes on the same machine.",ChatGPT-4,openai,high
2404.09513,https://arxiv.org/abs/2404.09513,2024-04,math.CT,writing_polish,writing,pair_supported,We utilized ChatGPT for proofreading support in the preparation of this paper.,ChatGPT,openai,high
2404.18734,https://arxiv.org/abs/2404.18734,2024-04,math.DS,writing_polish,writing,pair_supported,Generative AI was used to improve the readability of the paper.,,unnamed,high
2404.08518,https://arxiv.org/abs/2404.08518,2024-04,math.GM,proof_ideas,substantial_research,reread_confirmed,"Equation $1-x+x^3+x^2 y^2+z+z^2 = 0$, which was the smallest equation in $n\geq 3$ variables with open Problem \ref{prob:main}, has a solution $(x, y, z) = (-1398651019, 153, 52307072551909)$ found by Eugene Go with the help of ChatGPT5.4.",ChatGPT 5.4 Pro; ChatGPT5.4,openai,high
2404.08518,https://arxiv.org/abs/2404.08518,2024-04,math.GM,proof_ideas,substantial_research,reread_confirmed,"Equation $2+2 x+x^3-y^2-x y^2+x z^2 = 0$, which was the smallest \emph{cubic} equation with open Problem \ref{prob:main}, has a solution $(x, y, z) = (-252123662, 432516060, 351431075)$ found by Eugene Go with the help of ChatGPT5.4.",ChatGPT 5.4 Pro; ChatGPT5.4,openai,high
2404.08518,https://arxiv.org/abs/2404.08518,2024-04,math.GM,proof_ideas,substantial_research,reread_confirmed,"ChatGPT5.4 was also able to find a solution $(x,y,z) = (-63017373,57059718,26746548)$ to the equation $-2 x + x^3 + y^2 - x y^2 - x z^2 + 3 = 0$, and a solution $(x,y,z)=(-115648481, 393149, 1983495873)$ to the equation $-2 x + x^2 + x^3 + y + y^3 + y z^2 - 1=0$.",ChatGPT 5.4 Pro; ChatGPT5.4,openai,high
2404.08518,https://arxiv.org/abs/2404.08518,2024-04,math.GM,substantial_proof_contributions,substantial_research,reread_confirmed,"Problem \ref{prob:fin} for equations $z^2+y^2z-z+x^3+2=0$ and $z^2+y^2z+x^3+x\pm 1=0$ has been solved by ChatGPT 5.4 Pro, and these equations have been removed from Tables \ref{tab:H24finopen} and \ref{tab:l9openfin}.",ChatGPT 5.4 Pro; ChatGPT5.4,openai,high
2404.13811,https://arxiv.org/abs/2404.13811,2024-04,math.NA,writing_polish,writing,pair_supported,During the preparation of this work the authors used chatGPT in order to improve language and readability.,chatGPT,openai,high
2404.04832,https://arxiv.org/abs/2404.04832,2024-04,math.OC,writing_polish,writing,pair_supported,During the preparation of this work the authors used ChatGPT in order to check for grammatical errors and improve readability.,ChatGPT,openai,high
2404.18770,https://arxiv.org/abs/2404.18770,2024-04,math.OC,code_computation,code_computation,pair_supported,Artificial Intelligence (AI) technologies were used in this research for code development and grammar checking.,Artificial Intelligence (AI) technologies,unnamed,high
2404.18770,https://arxiv.org/abs/2404.18770,2024-04,math.OC,writing_polish,writing,pair_supported,Artificial Intelligence (AI) technologies were used in this research for code development and grammar checking.,Artificial Intelligence (AI) technologies,unnamed,high
2404.01245,https://arxiv.org/abs/2404.01245,2024-04,math.ST,other,,pair_supported,We prompted {ChatGPT-4} to generate a list of twenty open-ended and engaging questions to foster thought-provoking conversations.,ChatGPT-4; ChatGPT-3.5-turbo; OPT-1.3B; Sheared-LLaMA-2.7B,openai; other,high
2404.13960,https://arxiv.org/abs/2404.13960,2024-04,math.ST,vague_proof_contributions,research_assistance,reread_confirmed,"The author would like to acknowledge the helpful discussions and insights gained through interactions with the Claude AI assistant, which contributed to refining the presentation of this work.",Claude AI assistant,anthropic,medium
2404.13960,https://arxiv.org/abs/2404.13960,2024-04,math.ST,writing_polish,writing,pair_supported,"The author would like to acknowledge the helpful discussions and insights gained through interactions with the Claude AI assistant, which contributed to refining the presentation of this work.",Claude AI assistant,anthropic,high
2405.00933,https://arxiv.org/abs/2405.00933,2024-05,math.NA,translation,writing,pair_supported,Generative AI is only used for translation and language polishing in this paper.,,unnamed,high
2405.00933,https://arxiv.org/abs/2405.00933,2024-05,math.NA,writing_polish,writing,pair_supported,Generative AI is only used for translation and language polishing in this paper.,,unnamed,high
2405.18094,https://arxiv.org/abs/2405.18094,2024-05,math.NA,writing_polish,writing,pair_supported,We thank the language model \textit{Le Chat} for its assistance in refining formulations during the writing process.,Le Chat,other,high
2405.10519,https://arxiv.org/abs/2405.10519,2024-05,math.NT,writing_polish,writing,pair_supported,During the preparation of this work the author(s) used ChatGPT in order to improve the write-up of the article.,ChatGPT,openai,high
2405.07068,https://arxiv.org/abs/2405.07068,2024-05,math.OC,draft_text_generated,writing,pair_supported,"from ChatGPT: Advances in Modeling Techniques: Over the years, there has been a significant advancement in modeling techniques for catastrophe events. Traditional approaches have evolved into more sophisticated and comprehensive models, integrating geospatial data, climate variables, and socioeconomic factors. The use of high-resolution data, remote sensing, and machine learning algorithms has improved the accuracy and precision of catastrophe models. Uncertainty and Risk Assessment: Researchers have recognized the importance of quantifying uncertainties associated with catastrophe modeling. There is a growing emphasis on uncertainty analysis and probabilistic approaches to assess the range of potential outcomes. This helps in better understanding the inherent uncertainties in model inputs, assumptions, and parameter estimation, leading to more reliable risk assessments. Integration of Climate Change: Catastrophe modeling has increasingly incorporated the effects of climate change on natural disasters. Researchers are exploring how climate change influences the frequency, intensity, and spatial distribution of events. Incorporating climate projections and considering the uncertainties associated with climate change impacts have become crucial aspects of robust catastrophe models.",ChatGPT,openai,medium
2405.16786,https://arxiv.org/abs/2405.16786,2024-05,math.RT,writing_polish,writing,pair_supported,We express our appreciation to ChatGPT for their assistance with proofreading.,ChatGPT,openai,high
2406.19231,https://arxiv.org/abs/2406.19231,2024-06,math.CO,proof_ideas,substantial_research,reread_confirmed,"Surprisingly, after completing the proof of Theorem~\ref{thm:main}, we discovered the following conjecture of TxGraffiti while prompting it to directly conjecture on the zero forcing number for all possible combinations of the hypothesis that included cubic graphs.",TxGraffiti,other,medium
2406.19231,https://arxiv.org/abs/2406.19231,2024-06,math.CO,statement_generated,substantial_research,reread_confirmed,This paper proves a conjecture generated by the artificial intelligence conjecturing program called \emph{TxGraffiti}.,TxGraffiti,other,high
2406.12152,https://arxiv.org/abs/2406.12152,2024-06,math.NT,code_computation,code_computation,pair_supported,"During the preparation of this work, the authors used \textit{ChatGPT}, \textit{geogebra}, and \textit{Wolfram Alpha} for text polishing and for verifying or evaluating certain symbolic computations, including integrals, derivatives, and algebraic simplifications.",ChatGPT; geogebra; Wolfram Alpha,openai,high
2406.12152,https://arxiv.org/abs/2406.12152,2024-06,math.NT,math_checking,research_assistance,pair_supported,"During the preparation of this work, the authors used \textit{ChatGPT}, \textit{geogebra}, and \textit{Wolfram Alpha} for text polishing and for verifying or evaluating certain symbolic computations, including integrals, derivatives, and algebraic simplifications.",ChatGPT; geogebra; Wolfram Alpha,openai,high
2406.12152,https://arxiv.org/abs/2406.12152,2024-06,math.NT,writing_polish,writing,pair_supported,"During the preparation of this work, the authors used \textit{ChatGPT}, \textit{geogebra}, and \textit{Wolfram Alpha} for text polishing and for verifying or evaluating certain symbolic computations, including integrals, derivatives, and algebraic simplifications.",ChatGPT; geogebra; Wolfram Alpha,openai,high
2406.13226,https://arxiv.org/abs/2406.13226,2024-06,math.OC,writing_polish,writing,pair_supported,"We acknowledge Chatgpt(3.5) AI tools, which are used to rephrase, edit and polish the author's written text for spelling, grammar, or general style.",Chatgpt(3.5) AI tools,openai,high
2406.03424,https://arxiv.org/abs/2406.03424,2024-06,math.ST,writing_polish,writing,pair_supported,"Generative AI, spell-checking, search engines, and other similar tools were occasionally used by the authors to assist with the writing of this paper; the errors are all human.",Generative AI,unnamed,high
2407.02607,https://arxiv.org/abs/2407.02607,2024-07,math.DG,code_computation,code_computation,pair_supported,"In limited cases, they also assisted in translating certain mathematical formulations into PyTorch code.",Large Language Models (LLMs),unnamed,high
2407.02607,https://arxiv.org/abs/2407.02607,2024-07,math.DG,writing_polish,writing,pair_supported,Large Language Models (LLMs) were used primarily for language polishing and text editing.,Large Language Models (LLMs),unnamed,high
2407.05451,https://arxiv.org/abs/2407.05451,2024-07,math.OC,writing_polish,writing,pair_supported,"During the preparation of this work, the authors used Grammarly to improve readability and language.",Grammarly,unnamed,high
2407.17833,https://arxiv.org/abs/2407.17833,2024-07,math.OC,writing_polish,writing,pair_supported,"During the preparation of this work, the authors used FhGenie and DeepL Write in order to improve the language.",FhGenie; DeepL Write,unnamed,high
2409.09033,https://arxiv.org/abs/2409.09033,2024-07,math.RA,writing_polish,writing,pair_supported,Large Language Models (LLMs) were used solely for language polishing; all scientific content and conclusions are the author’s own.,Large Language Models (LLMs),unnamed,high
2407.19191,https://arxiv.org/abs/2407.19191,2024-07,math.ST,code_computation,code_computation,pair_supported,The code was written in Rcpp and it was further optimized for increased speed through the use of generative AI.,,unnamed,high
2407.19959,https://arxiv.org/abs/2407.19959,2024-07,math.ST,writing_polish,writing,pair_supported,"During the preparation of this work, the authors used ChatGPT for basic grammar and spelling checks, as well as to enhance the readability of the manuscript.",ChatGPT,openai,high
2408.01903,https://arxiv.org/abs/2408.01903,2024-08,math.AC,writing_polish,writing,pair_supported,During the preparation of this work the authors used ChatGPT in order to improve readability and language of the work.,ChatGPT,openai,high
2408.02299,https://arxiv.org/abs/2408.02299,2024-08,math.CO,writing_polish,writing,pair_supported,"I use generative AI and AI-assisted tools for tasks such as English grammar checking, and I do not employ them in any way that violates ethical standards.",,unnamed,high
2408.14209,https://arxiv.org/abs/2408.14209,2024-08,math.DS,code_computation,code_computation,pair_supported,"To write this paper, T.V.G. used several AI tools. Github-copilot for help when writing the code, Grammarly for help with grammar and spelling, academicgpt to assist writing and spell checking.",Github-copilot; Grammarly; academicgpt,microsoft; openai,high
